month_start,year,month,year_month,state,fatalities
1993-02-01,1993,2,1993-02,VIC,40
1993-02-01,1993,2,1993-02,WA,11
1993-03-01,1993,3,1993-03,ACT,1
1993-03-01,1993,3,1993-03,NSW,56
1993-03-01,1993,3,1993-03,NT,4
1993-03-01,1993,3,1993-03,QLD,20
1993-03-01,1993,3,1993-03,SA,22
1993-03-01,1993,3,1993-03,TAS,3
1993-03-01,1993,3,1993-03,VIC,37
1993-03-01,1993,3,1993-03,WA,15
1993-04-01,1993,4,1993-04,NSW,51
1993-04-01,1993,4,1993-04,NT,7
1993-04-01,1993,4,1993-04,QLD,26
1993-04-01,1993,4,1993-04,SA,20
1993-04-01,1993,4,1993-04,TAS,3
1993-04-01,1993,4,1993-04,VIC,39
1993-04-01,1993,4,1993-04,WA,16
1993-05-01,1993,5,1993-05,NSW,37
1993-05-01,1993,5,1993-05,NT,1
1993-05-01,1993,5,1993-05,QLD,25
1993-05-01,1993,5,1993-05,SA,20
1993-05-01,1993,5,1993-05,TAS,4
1993-05-01,1993,5,1993-05,VIC,44
1993-05-01,1993,5,1993-05,WA,19
1993-06-01,1993,6,1993-06,ACT,1
1993-06-01,1993,6,1993-06,NSW,42
1993-06-01,1993,6,1993-06,NT,5
1993-06-01,1993,6,1993-06,QLD,33
1993-06-01,1993,6,1993-06,SA,14
1993-06-01,1993,6,1993-06,TAS,2
1993-06-01,1993,6,1993-06,VIC,33
1993-06-01,1993,6,1993-06,WA,16
1993-07-01,1993,7,1993-07,NSW,42
1993-07-01,1993,7,1993-07,NT,3
1993-07-01,1993,7,1993-07,QLD,35
1993-07-01,1993,7,1993-07,SA,15
1993-07-01,1993,7,1993-07,TAS,3
1993-07-01,1993,7,1993-07,VIC,33
1993-07-01,1993,7,1993-07,WA,17
1993-08-01,1993,8,1993-08,ACT,1
1993-08-01,1993,8,1993-08,NSW,59
1993-08-01,1993,8,1993-08,NT,7
1993-08-01,1993,8,1993-08,QLD,46
1993-08-01,1993,8,1993-08,SA,15
1993-08-01,1993,8,1993-08,TAS,5
1993-08-01,1993,8,1993-08,VIC,27
1993-08-01,1993,8,1993-08,WA,25
1993-09-01,1993,9,1993-09,ACT,2
1993-09-01,1993,9,1993-09,NSW,42
1993-09-01,1993,9,1993-09,NT,2
1993-09-01,1993,9,1993-09,QLD,38
1993-09-01,1993,9,1993-09,SA,18
1993-09-01,1993,9,1993-09,TAS,7
1993-09-01,1993,9,1993-09,VIC,34
1993-09-01,1993,9,1993-09,WA,15
1993-10-01,1993,10,1993-10,ACT,5
1993-10-01,1993,10,1993-10,NSW,59
1993-10-01,1993,10,1993-10,NT,7
1993-10-01,1993,10,1993-10,QLD,45
1993-10-01,1993,10,1993-10,SA,22
1993-10-01,1993,10,1993-10,TAS,6
1993-10-01,1993,10,1993-10,VIC,39
1993-10-01,1993,10,1993-10,WA,24
1993-11-01,1993,11,1993-11,ACT,1
1993-11-01,1993,11,1993-11,NSW,55
1993-11-01,1993,11,1993-11,NT,3
1993-11-01,1993,11,1993-11,QLD,28
1993-11-01,1993,11,1993-11,SA,18
1993-11-01,1993,11,1993-11,TAS,7
